,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
1,mahebourg,-20.41,57.7,78.8,74,75,11.41,MU,1558378503
4,cape town,-33.93,18.42,55.99,76,20,8.05,ZA,1558378755
5,atuona,-9.8,-139.03,81.96,76,78,16.49,PF,1558378755
6,flinders,-34.58,150.85,60.01,62,0,11.41,AU,1558378755
7,opuwo,-18.06,13.84,72.06,23,0,5.44,,1558378523
11,castro,-42.48,-73.76,48.2,70,0,9.17,CL,1558378756
12,avarua,-21.21,-159.78,71.6,94,100,2.24,CK,1558378756
17,ushuaia,-54.81,-68.31,44.6,75,75,36.91,AR,1558378606
18,bambous virieux,-20.34,57.76,78.8,74,75,11.41,MU,1558378758
21,busselton,-33.64,115.35,55.0,63,84,12.86,AU,1558378758
23,maragogi,-9.01,-35.22,83.94,69,97,9.42,BR,1558378610
27,punta arenas,-53.16,-70.91,50.0,61,40,46.08,CL,1558378759
28,rikitea,-23.12,-134.97,74.58,76,95,12.82,PF,1558378669
29,new norfolk,-42.78,147.06,57.99,66,40,5.82,AU,1558378759
30,gobabis,-22.45,18.97,68.0,24,0,2.24,,1558378567
39,mayor pablo lagerenza,-19.93,-60.77,91.86,33,43,14.9,PY,1558378761
40,hermanus,-34.42,19.24,55.0,74,9,23.78,ZA,1558378761
43,kruisfontein,-34.0,24.73,55.68,69,92,16.53,ZA,1558378762
44,puerto ayora,-0.74,-90.35,79.0,86,26,5.99,EC,1558378762
46,beloha,-25.17,45.06,70.08,85,100,10.0,MG,1558378762
48,port alfred,-33.59,26.89,61.0,69,67,8.01,ZA,1558378763
51,mar del plata,-46.43,-67.52,50.1,33,5,18.52,AR,1558378763
54,tiarei,-17.53,-149.33,84.2,70,20,10.29,PF,1558378764
56,pisco,-13.71,-76.2,75.99,30,0,11.41,PE,1558378764
70,ponta do sol,-20.63,-46.0,73.68,57,0,5.32,BR,1558378767
76,pontes e lacerda,-15.23,-59.33,88.44,41,41,3.71,BR,1558378768
80,raglan,-37.8,174.87,48.99,53,99,1.99,NZ,1558378769
81,jamestown,-33.21,138.6,54.78,52,84,5.86,AU,1558378769
84,emerald,-23.53,148.16,60.8,82,0,6.93,AU,1558378770
